Timestamp,Target Eye,Velocity (deg/s),Interval Since Prev (s),Status
23:09:16.449,Left Eye,-94.88,0.0464,Normal
23:09:16.496,Right Eye,-243.71,0.047,Normal
23:09:16.496,Left Eye,0.0,0.047,Normal
23:09:16.542,Right Eye,620.43,0.0462,ANOMALY DETECTED
23:09:16.542,Left Eye,0.0,0.0462,Normal
23:09:16.587,Right Eye,1256.9,0.0456,ANOMALY DETECTED
23:09:16.587,Left Eye,0.0,0.0456,Normal
23:09:16.633,Right Eye,0.0,0.0458,Normal
23:09:16.633,Left Eye,0.0,0.0458,Normal
23:09:16.680,Right Eye,-616.56,0.0465,ANOMALY DETECTED
23:09:16.680,Left Eye,246.62,0.0465,Normal
23:09:16.726,Right Eye,1241.43,0.0462,ANOMALY DETECTED
23:09:16.726,Left Eye,0.0,0.0462,Normal
23:09:16.793,Right Eye,-428.39,0.0669,Normal
23:09:16.793,Left Eye,-65.91,0.0669,Normal
23:09:16.847,Right Eye,0.0,0.0547,Normal
23:09:16.847,Left Eye,0.0,0.0547,Normal
23:09:16.894,Right Eye,1224.71,0.0468,ANOMALY DETECTED
23:09:16.894,Left Eye,367.41,0.0468,Normal
23:09:16.940,Right Eye,0.0,0.0457,Normal
23:09:16.940,Left Eye,0.0,0.0457,Normal
23:09:16.985,Right Eye,0.0,0.0455,Normal
23:09:16.985,Left Eye,-290.76,0.0455,Normal
23:09:17.031,Right Eye,-249.13,0.046,Normal
23:09:17.031,Left Eye,-1868.51,0.046,ANOMALY DETECTED
23:09:17.095,Right Eye,0.0,0.0635,Normal
23:09:17.095,Left Eye,361.0,0.0635,Normal
23:09:17.139,Right Eye,205.86,0.0445,Normal
23:09:17.139,Left Eye,0.0,0.0445,Normal
23:09:17.185,Right Eye,-585.98,0.046,ANOMALY DETECTED
23:09:17.185,Left Eye,0.0,0.046,Normal
23:09:17.231,Right Eye,249.23,0.046,Normal
23:09:17.231,Left Eye,0.0,0.046,Normal
23:09:17.278,Right Eye,188.61,0.0467,Normal
23:09:17.278,Left Eye,613.0,0.0467,ANOMALY DETECTED
23:09:17.323,Right Eye,0.0,0.0453,Normal
23:09:17.323,Left Eye,0.0,0.0453,Normal
23:09:17.370,Right Eye,0.0,0.047,Normal
23:09:17.370,Left Eye,-243.95,0.047,Normal
23:09:17.417,Right Eye,-122.19,0.0469,Normal
23:09:17.417,Left Eye,0.0,0.0469,Normal
23:09:17.463,Right Eye,191.6,0.046,Normal
23:09:17.463,Left Eye,0.0,0.046,Normal
23:09:17.512,Right Eye,-345.94,0.0487,Normal
23:09:17.512,Left Eye,0.0,0.0487,Normal
23:09:17.560,Right Eye,238.83,0.048,Normal
23:09:17.560,Left Eye,597.08,0.048,ANOMALY DETECTED
23:09:17.619,Right Eye,149.77,0.0589,Normal
23:09:17.619,Left Eye,-973.52,0.0589,ANOMALY DETECTED
23:09:17.664,Right Eye,315.29,0.0454,Normal
23:09:17.664,Left Eye,252.23,0.0454,Normal
23:09:17.712,Right Eye,-479.4,0.0478,Normal
23:09:17.712,Left Eye,0.0,0.0478,Normal
23:09:17.757,Right Eye,637.41,0.0449,ANOMALY DETECTED
23:09:17.757,Left Eye,0.0,0.0449,Normal
23:09:17.805,Right Eye,-185.5,0.0475,Normal
23:09:17.805,Left Eye,0.0,0.0475,Normal
23:09:17.851,Right Eye,0.0,0.0461,Normal
23:09:17.851,Left Eye,310.45,0.0461,Normal
23:09:17.896,Right Eye,0.0,0.0455,Normal
23:09:17.896,Left Eye,-503.87,0.0455,ANOMALY DETECTED
23:09:17.943,Right Eye,0.0,0.0464,Normal
23:09:17.943,Left Eye,0.0,0.0464,Normal
23:09:17.990,Right Eye,0.0,0.0471,Normal
23:09:17.990,Left Eye,93.57,0.0471,Normal
23:09:18.056,Right Eye,-85.82,0.0668,Normal
23:09:18.056,Left Eye,-257.46,0.0668,Normal
23:09:18.099,Right Eye,0.0,0.0422,Normal
23:09:18.099,Left Eye,313.19,0.0422,Normal
23:09:18.147,Right Eye,183.85,0.0479,Normal
23:09:18.147,Left Eye,298.76,0.0479,Normal
23:09:18.193,Right Eye,204.51,0.0467,Normal
23:09:18.193,Left Eye,0.0,0.0467,Normal
23:09:18.240,Right Eye,-282.39,0.0468,Normal
23:09:18.240,Left Eye,-489.47,0.0468,Normal
23:09:18.286,Right Eye,0.0,0.0463,Normal
23:09:18.286,Left Eye,309.43,0.0463,Normal
23:09:18.333,Right Eye,0.0,0.0467,Normal
23:09:18.333,Left Eye,-491.22,0.0467,Normal
23:09:18.379,Right Eye,49.72,0.0461,Normal
23:09:18.379,Left Eye,0.0,0.0461,Normal
23:09:18.425,Right Eye,207.65,0.046,Normal
23:09:18.425,Left Eye,287.52,0.046,Normal
23:09:18.473,Right Eye,0.0,0.0475,Normal
23:09:18.473,Left Eye,0.0,0.0475,Normal
23:09:18.520,Right Eye,-359.8,0.0478,Normal
23:09:18.520,Left Eye,-359.8,0.0478,Normal
23:09:18.567,Right Eye,188.6,0.0467,Normal
23:09:18.567,Left Eye,282.9,0.0467,Normal
23:09:18.613,Right Eye,50.12,0.0457,Normal
23:09:18.613,Left Eye,0.0,0.0457,Normal
23:09:18.659,Right Eye,204.51,0.0467,Normal
23:09:18.659,Left Eye,-245.41,0.0467,Normal
23:09:18.710,Right Eye,-135.56,0.0507,Normal
23:09:18.710,Left Eye,86.9,0.0507,Normal
23:09:18.750,Right Eye,-109.61,0.0402,Normal
23:09:18.750,Left Eye,0.0,0.0402,Normal
23:09:18.796,Right Eye,0.0,0.0457,Normal
23:09:18.796,Left Eye,0.0,0.0457,Normal
23:09:18.843,Right Eye,0.0,0.0472,Normal
23:09:18.843,Left Eye,0.0,0.0472,Normal
23:09:18.890,Right Eye,0.0,0.0471,Normal
23:09:18.890,Left Eye,0.0,0.0471,Normal
23:09:18.936,Right Eye,209.98,0.0455,Normal
23:09:18.936,Left Eye,0.0,0.0455,Normal
23:09:18.981,Right Eye,293.7,0.045,Normal
23:09:18.981,Left Eye,212.12,0.045,Normal
23:09:19.029,Right Eye,-462.22,0.0477,Normal
23:09:19.029,Left Eye,-277.33,0.0477,Normal
23:09:19.079,Right Eye,191.32,0.0499,Normal
23:09:19.079,Left Eye,0.0,0.0499,Normal
23:09:19.121,Right Eye,311.95,0.0424,Normal
23:09:19.121,Left Eye,0.0,0.0424,Normal
23:09:19.168,Right Eye,-204.18,0.0468,Normal
23:09:19.168,Left Eye,0.0,0.0468,Normal
23:09:19.214,Right Eye,-282.62,0.0468,Normal
23:09:19.214,Left Eye,0.0,0.0468,Normal
23:09:19.261,Right Eye,0.0,0.0469,Normal
23:09:19.261,Left Eye,0.0,0.0469,Normal
23:09:19.308,Right Eye,0.0,0.0465,Normal
23:09:19.308,Left Eye,0.0,0.0465,Normal
23:09:19.355,Right Eye,0.0,0.047,Normal
23:09:19.355,Left Eye,0.0,0.047,Normal
23:09:19.400,Right Eye,317.1,0.0452,Normal
23:09:19.400,Left Eye,0.0,0.0452,Normal
23:09:19.446,Right Eye,-190.1,0.0464,Normal
23:09:19.446,Left Eye,0.0,0.0464,Normal
23:09:19.492,Right Eye,0.0,0.0454,Normal
23:09:19.492,Left Eye,0.0,0.0454,Normal
23:09:19.539,Right Eye,0.0,0.0469,Normal
23:09:19.539,Left Eye,0.0,0.0469,Normal
23:09:19.586,Right Eye,0.0,0.0466,Normal
23:09:19.586,Left Eye,0.0,0.0466,Normal
23:09:19.632,Right Eye,0.0,0.0467,Normal
23:09:19.632,Left Eye,0.0,0.0467,Normal
23:09:19.679,Right Eye,0.0,0.0473,Normal
